Country,City,Longitude,Latitude,Temperature(F),Humidity(%),Cloudiness(%),Wind_Speed(mph)
PF,Vaitape,-151.75,-16.52,79.29,77,1,22.46
PF,Faanui,-151.75,-16.48,78.46,78,1,22.5
NC,Vao,167.48,-22.67,67.33,74,0,22.3
ZA,Bredasdorp,20.04,-34.53,50.0,81,1,1.12
TL,Airai,125.41,-8.93,73.22,42,100,4.97
AU,Esperance,121.9,-33.87,55.4,100,26,9.17
VU,Sola,167.55,-13.88,84.2,79,90,5.82
NU,Alofi,-169.92,-19.06,82.4,69,75,18.34
BR,Aripuanã,-60.63,-9.17,77.29,72,57,1.59
MZ,Maxixe,35.35,-23.86,72.9,85,75,4.16
GA,Mayumba,10.66,-3.43,75.49,81,91,5.64
PF,Fare,-151.02,-16.7,79.07,77,10,22.44
CL,Lebu,-73.65,-37.62,48.83,85,66,17.69
NZ,Dunedin,170.5,-45.87,48.99,63,87,21.0
ID,Nabire,135.48,-3.37,82.18,80,96,0.4
BR,Pitimbu,-34.81,-7.47,73.4,88,23,5.82
BR,Castro,-50.01,-24.79,65.19,93,24,3.8
NA,Rundu,19.77,-17.93,67.19,24,0,5.55
MU,Mahébourg,57.7,-20.41,71.6,88,75,6.93
PE,Pucallpa,-74.55,-8.38,80.6,74,40,3.36
BR,Touros,-35.46,-5.2,75.2,83,19,3.36
MU,Souillac,57.52,-20.52,71.6,88,75,6.93
PE,San Jerónimo,-75.28,-11.95,52.74,66,61,4.72
PG,Port Moresby,147.18,-9.44,82.4,78,75,11.41
CK,Avarua,-159.78,-21.21,78.8,78,23,25.28
RE,Saint-Philippe,55.77,-21.36,65.12,72,45,5.82
UY,Chui,-53.46,-33.7,52.38,79,20,7.14
ID,Majene,118.97,-3.54,81.19,73,66,7.52
BW,Hukuntsi,21.75,-24.0,53.47,27,0,10.4
BR,Cidreira,-50.21,-30.18,63.36,83,63,19.19
CD,Inongo,18.27,-1.95,69.57,88,47,0.94
CL,Talcahuano,-73.12,-36.72,53.6,87,90,10.29
AU,Geraldton,114.6,-28.77,57.2,82,0,3.36
ZA,Hermanus,19.23,-34.42,46.99,92,6,4.88
CG,Gamboma,15.86,-1.88,72.12,89,91,3.65
BR,Capão da Canoa,-50.01,-29.75,63.01,85,24,13.24
BR,Aquiraz,-38.39,-3.9,80.6,78,40,13.87
TO,Vaini,-175.2,-21.2,80.6,83,90,14.99
MU,Quatre Cocos,57.76,-20.21,70.77,88,75,6.93
ID,Soe,124.28,-9.86,78.08,49,83,5.86
PE,Lima,-77.03,-12.04,62.29,77,75,16.11
AU,Codrington,141.97,-38.27,57.29,88,100,15.35
NA,Walvis Bay,14.51,-22.96,49.5,93,0,9.17
MZ,Beira,34.84,-19.84,73.4,94,75,4.7
ZA,Port Elizabeth,25.57,-33.92,48.2,93,7,4.7
AU,Cessnock,151.35,-32.83,62.71,72,100,4.12
AU,Narrabri,149.78,-30.32,56.08,82,90,18.34
CL,Ancud,-73.82,-41.87,36.66,93,100,5.82
ZA,Middelburg,29.46,-25.78,55.9,78,0,5.75
GA,Port-Gentil,8.78,-0.72,77.0,88,40,8.05
WS,Lufilufi,-171.6,-13.87,87.39,70,75,11.41
AU,Yulara,130.99,-25.24,69.8,56,0,13.87
TZ,Kilindoni,39.67,-7.91,76.77,81,13,10.67
AO,Mossamedes,12.15,-15.2,63.34,81,65,8.05
BW,Ghanzi,21.78,-21.57,59.7,23,14,10.76
YT,Chirongui,45.15,-12.93,77.0,88,75,13.87
BR,Arraial do Cabo,-42.03,-22.97,75.2,88,75,5.82
NC,Poum,164.02,-20.23,70.75,66,3,8.28
NA,Lüderitz,15.16,-26.65,57.94,54,0,21.25
MZ,Mocuba,36.99,-16.84,72.68,77,6,3.89
TZ,Mbeya,33.45,-8.9,57.83,90,44,4.68
AU,Alice Springs,133.88,-23.7,71.6,46,0,14.99
AR,Morón,-58.62,-34.65,68.41,53,0,6.02
ID,Atambua,124.89,-9.11,82.99,48,100,2.19
AU,Mount Isa,139.5,-20.73,87.8,31,10,6.93
NZ,Ahipara,173.17,-35.17,57.88,53,63,9.89
BR,Belmonte,-38.88,-15.86,77.0,78,20,9.17
PE,Paita,-81.11,-5.09,61.5,86,8,15.75
PE,Pisco,-76.22,-13.7,63.34,77,5,19.46
BR,Caravelas,-39.25,-17.71,74.5,84,0,7.49
ZA,Richards Bay,32.04,-28.78,62.08,83,99,5.55
ZM,Senanga,23.27,-16.12,79.74,38,77,8.39
ZW,Hwange,26.5,-18.37,75.72,46,27,5.23
AR,San Rafael,-68.33,-34.62,66.7,24,0,6.11
ZA,Graaff-Reinet,24.53,-32.25,43.0,84,0,2.64
AR,Río Gallegos,-69.22,-51.62,35.6,64,77,26.4
CL,Constitución,-72.42,-35.33,51.66,85,100,15.17
AU,Roebourne,117.13,-20.78,81.61,17,28,16.4
BR,Januária,-44.37,-15.48,86.74,21,26,6.62
ZW,Mount Darwin,31.58,-16.77,66.7,55,0,3.42
BR,Itarema,-39.92,-2.92,78.46,78,7,17.0
BR,Ibaiti,-50.19,-23.85,70.0,99,62,4.0
AU,Deniliquin,144.97,-35.53,57.99,73,100,7.4
EC,Loja,-79.2,-3.99,56.53,94,49,2.28
PY,Pozo Colorado,-58.8,-23.49,90.59,33,22,8.55
BR,São Gabriel da Cachoeira,-67.09,-0.13,75.27,95,89,0.89
MG,Sambava,50.17,-14.27,73.35,83,31,8.59
BR,Pompéu,-44.94,-19.22,83.35,31,43,11.74
AU,Alyangula,136.42,-13.85,87.8,55,75,14.99
BR,Itupiranga,-49.33,-5.13,80.6,78,20,2.24
AU,Moranbah,148.05,-22.0,75.51,40,0,17.05
BR,Jardim,-56.14,-21.48,84.51,40,38,0.98
AU,Port Lincoln,135.87,-34.73,60.87,72,93,20.13
SB,Gizo Government Station,156.84,-8.1,83.3,73,24,9.71
ID,Banjarmasin,114.59,-3.32,80.6,88,20,5.82
BW,Gweta,25.23,-20.18,72.32,48,19,10.31
PF,Tautira,-149.15,-17.73,87.8,62,40,11.41
BR,Piaçabuçu,-36.43,-10.41,75.38,75,18,9.71
BR,Nhamundá,-56.71,-2.19,83.88,46,29,2.93
LS,Quthing,27.7,-30.4,40.68,69,0,3.11
EC,Guaranda,-79.0,-1.6,55.81,83,95,1.79
CL,Coyhaique,-72.07,-45.58,39.2,51,20,5.82
NZ,Tuatapere,167.68,-46.13,46.99,93,94,8.99
BR,Correia Pinto,-50.36,-27.58,57.69,95,65,5.73
BR,Esperantinópolis,-44.71,-4.87,76.91,79,53,4.03
BR,São Félix do Xingu,-51.99,-6.64,81.66,57,58,1.01
SB,Honiara,159.95,-9.43,89.6,59,20,13.87
TZ,Kaliua,31.79,-5.06,74.08,61,60,2.26
PG,Daru,143.21,-9.08,78.64,77,97,17.09
MZ,Quelimane,36.89,-17.88,76.1,94,20,10.29
MU,Cap Malheureux,57.61,-19.98,70.0,85,92,5.01
ZA,Marquard,27.43,-28.66,38.43,76,0,7.78
ID,Tual,132.75,-5.67,81.77,79,90,17.49
BR,Nova Soure,-38.48,-11.23,71.67,80,0,11.1
UY,Departamento de Maldonado,-54.92,-34.67,59.5,72,0,6.93
BO,Guayaramerín,-65.36,-10.84,82.92,54,92,1.25
BR,Itapirapuã,-50.61,-15.82,86.95,15,2,3.76
NC,Voh,164.7,-20.97,77.5,48,0,14.16
SB,Buala,159.59,-8.14,85.23,63,47,5.39
BR,São Geraldo do Araguaia,-48.55,-6.4,78.39,71,42,1.83
PG,Vanimo,141.3,-2.67,84.92,68,91,5.68
UG,Kalangala,32.23,-0.31,71.19,77,66,10.42
BR,Tucumã,-50.05,-0.18,79.79,81,87,8.43
BR,Maceió,-35.74,-9.67,71.6,88,27,3.36
BR,Jacareacanga,-57.75,-6.22,79.95,61,75,0.72
PG,Lorengau,147.27,-2.02,85.14,70,66,9.82
KE,Migori,34.47,-1.06,61.74,79,65,5.39
AU,Sawtell,153.1,-30.38,67.21,52,40,11.41
AU,Yeppoon,150.73,-23.13,77.0,41,15,9.17
BR,Rubiataba,-49.8,-15.16,83.53,17,0,2.53
CL,Calama,-68.93,-22.47,62.6,17,2,10.29
AU,Nelson Bay,152.15,-32.72,66.42,59,100,6.93
AR,San Juan,-68.54,-31.54,70.14,16,0,7.63
PE,Sechura,-80.82,-5.56,64.89,74,27,15.43
BR,Cacoal,-61.45,-11.44,80.58,65,65,0.67
PG,Aitape,142.35,-3.14,84.07,72,94,4.83
AU,Flinders,150.86,-34.58,64.0,67,100,15.01
KE,Namanga,36.79,-2.54,66.88,75,93,6.4
ID,Sorong,131.25,-0.88,77.68,82,100,4.05
AU,Bundaberg,152.35,-24.85,75.2,50,75,13.87
NZ,Te Anau,167.72,-45.42,43.09,81,39,2.55
BW,Mokobeng,27.67,-23.0,64.72,81,0,10.36
