Country,City,Longitude,Latitude,Temperature(F),Humidity(%),Cloudiness(%),Wind_Speed(mph)
ES,San Javier,-0.84,37.81,64.4,88,65,5.82
US,Lompoc,-120.46,34.64,63.72,82,1,14.99
CI,Dabakala,-4.43,8.37,72.09,92,100,1.28
RU,Khatanga,102.5,71.97,30.74,99,100,11.97
NO,Berlevåg,29.09,70.86,50.2,83,8,10.83
CA,Tuktoyaktuk,-133.04,69.45,37.4,93,90,2.24
SO,Bandarbeyla,50.81,9.49,77.76,79,57,19.66
ES,Calatayud,-1.64,41.35,57.52,82,0,2.24
CN,Jiexiu,111.91,37.02,57.81,73,47,2.59
GL,Ilulissat,-51.1,69.22,28.4,63,58,5.82
PH,Dingle,122.67,11.0,80.04,81,100,1.95
CA,Sept-Îles,-66.38,50.2,59.0,87,90,5.82
JP,Hiji,131.53,33.37,68.22,78,75,12.75
CN,Aksu,80.26,41.12,56.19,36,13,6.04
SE,Falkenberg,12.49,56.91,53.29,87,9,5.82
RU,Noyabrsk,75.45,63.2,41.14,94,100,12.46
YE,Marzuq,46.47,14.4,74.88,51,29,4.99
MY,Ayer Tawar,100.75,4.3,77.0,94,20,2.3
GF,Cayenne,-52.33,4.93,78.8,94,40,7.56
FI,Nivala,24.97,63.92,50.0,91,98,3.89
CD,Isiro,27.62,2.77,65.89,98,93,1.72
SE,Visby,18.3,57.64,41.0,93,0,3.36
PH,Bantogon,124.03,6.53,81.82,61,98,3.69
BR,Amapá,-52.0,1.0,79.38,62,43,4.68
US,Nantucket,-70.1,41.28,65.64,93,90,8.05
MV,Dhidhdhoo,73.1,6.88,81.54,76,63,10.8
IS,Vestmannaeyjar,-20.27,63.44,43.56,75,67,8.23
CA,Thompson,-97.86,55.74,50.0,76,75,4.7
MM,Myitkyina,97.4,25.38,74.35,96,99,0.89
US,Russellville,-93.13,35.28,64.85,48,1,4.7
US,Broome,-75.83,42.25,53.65,100,90,4.7
PH,Palauig,119.9,15.44,83.35,72,98,2.19
RU,Cherskiy,161.3,68.75,44.26,60,100,14.74
ES,Palma de Mallorca,2.65,39.57,64.09,88,13,5.82
SD,Doka,35.77,13.52,73.27,93,62,9.46
RU,Nikolskoye,30.79,59.7,50.7,87,75,4.47
MX,Guerrero Negro,-114.06,27.98,89.06,31,0,12.73
IT,Nola,14.53,40.92,54.91,82,17,3.36
NO,Sørland,12.69,67.67,50.59,88,100,7.52
KH,Sisophon,102.97,13.59,77.2,89,91,3.49
RU,Uyskoye,60.0,54.38,52.09,87,100,4.07
CA,Pangnirtung,-65.71,66.15,27.59,87,0,3.89
IS,Grindavik,-22.43,63.84,37.4,93,75,4.7
CA,Gull Lake,-108.48,50.1,55.4,38,90,19.46
CN,Binzhou,118.02,37.37,62.62,51,0,4.63
GL,Narsaq,-46.05,60.92,30.2,58,0,2.24
JP,Obihiro,143.2,42.92,55.4,87,75,5.82
RU,Beringovskiy,179.32,63.05,44.13,65,36,1.83
RU,Chulym,80.96,55.1,31.05,96,38,3.78
US,Torrington,-73.12,41.8,67.87,100,100,5.99
IN,Kargil,76.1,34.57,37.87,69,0,3.29
US,Hays,-98.03,30.05,72.68,41,0,1.48
US,Sterling,-77.43,39.01,56.98,87,90,14.99
RU,Yar-Sale,70.83,66.83,40.53,83,99,3.98
US,Pacifica,-122.49,37.61,67.59,77,20,21.92
JP,Hasaki,140.83,35.73,68.31,72,20,11.41
GB,Hastings,0.57,50.86,54.28,96,24,1.01
CN,Puyang,119.89,29.46,68.72,77,17,1.25
US,Laguna,-121.42,38.42,95.97,19,1,4.81
RU,Severodvinsk,39.83,64.56,42.8,93,75,4.47
FR,Châteauroux,1.7,46.82,57.2,93,90,3.36
RU,Kamenka,42.77,51.32,48.99,47,99,12.08
MV,Kudahuvadhoo,72.89,2.67,82.49,75,100,9.13
OM,Salalah,54.09,17.02,75.2,83,20,4.7
RU,Khabary,79.53,53.63,32.27,94,26,3.67
SO,Garoowe,48.48,8.41,74.55,76,93,8.46
US,Ketchikan,-131.65,55.34,57.2,82,90,3.36
TM,Akdepe,59.38,42.06,42.8,56,9,9.17
ID,Meulaboh,96.13,4.14,77.18,87,100,5.14
JP,Muroto-misakicho,134.15,33.28,69.8,88,75,4.7
IR,Sūsangerd,48.18,31.56,78.8,61,0,2.24
CD,Aketi,23.78,2.74,68.94,95,100,0.49
FO,Klaksvík,-6.59,62.23,50.0,87,27,21.92
US,San Jose,-121.89,37.34,82.87,39,5,8.05
MY,Pontian Kecil,103.39,1.48,76.73,94,20,1.12
CN,Xichang,102.26,27.9,65.12,71,86,0.83
GL,Maniitsoq,-52.9,65.42,29.05,88,34,7.96
PT,Camacha,-16.33,33.08,69.8,68,75,10.29
US,Carlsbad,-117.35,33.16,83.7,58,1,9.17
UA,Kirovsk,38.64,48.64,57.25,40,100,20.33
CN,Xunchang,104.72,28.45,64.96,83,1,1.39
OM,Sur,59.53,22.57,81.39,48,0,8.14
UZ,Nurota,65.69,40.56,51.8,81,100,9.17
CA,Haines Junction,-137.51,60.75,46.35,56,88,2.06
LY,Jalu,21.55,29.03,80.78,38,0,10.0
US,Dickinson,-95.05,29.46,73.11,25,1,3.36
CN,Shenjiamen,122.3,29.96,71.94,69,17,13.49
IN,Bilhaur,80.08,26.85,75.87,45,0,4.52
NP,Rājbirāj,86.75,26.53,77.16,83,25,2.84
RU,Karachev,34.99,53.12,55.09,51,74,10.04
MY,Sri Aman,111.46,1.24,76.95,94,20,2.24
BG,Beloslav,27.7,43.18,56.75,67,84,18.34
GL,Sisimiut,-53.67,66.94,31.14,92,92,2.26
BJ,Malanville,3.39,11.87,77.09,85,88,8.75
US,Avera,-82.53,33.19,59.0,71,1,8.05
CA,Port-Cartier,-66.87,50.03,59.0,87,90,5.82
CA,Goderich,-81.72,43.75,57.27,68,100,1.01
IN,Kukshi,74.75,22.2,74.89,79,22,5.53
MY,Mersing,103.84,2.43,75.2,100,40,4.7
CA,Chapais,-74.85,49.78,53.6,76,90,6.93
RU,Oktyabr'skiy,53.47,54.48,48.63,86,16,1.59
MX,Ixtapa,-105.2,20.7,87.4,70,40,8.05
KZ,Ekibastuz,75.37,51.67,35.83,82,0,3.4
CA,Saint-Augustin,-58.65,51.23,61.39,88,100,17.83
US,Ingleside,-97.21,27.88,77.07,34,1,8.05
IN,Chāndbāli,86.77,20.78,80.04,88,100,2.93
RU,Zarubino,131.09,42.63,56.64,64,100,8.79
RU,Verkhnevilyuysk,120.32,63.45,30.11,92,12,6.35
EG,Alexandria,29.96,31.22,80.6,74,0,6.93
RU,Kysyl-Syr,122.76,63.9,30.34,93,0,8.25
CA,Port Hawkesbury,-61.35,45.62,67.82,100,90,9.17
AZ,Artyom,50.33,40.47,51.8,76,0,4.7
TM,Kaka,59.61,37.35,45.77,52,0,3.38
CN,Xining,101.77,36.62,52.18,73,88,3.4
RU,Kholmogory,41.66,64.22,42.8,93,75,4.47
IE,Dunmore East,-6.99,52.15,56.21,95,90,5.99
US,Fairbanks,-147.72,64.84,52.81,54,1,3.96
LR,Harper,-7.72,4.38,76.69,90,58,9.86
CV,São Filipe,-24.5,14.9,79.68,74,10,9.4
PT,Lata,-8.33,40.16,59.58,87,76,1.01
GL,Aasiaat,-52.87,68.71,22.98,98,68,7.58
NG,Sabla,4.71,12.75,80.02,74,89,9.66
GL,Paamiut,-49.67,61.99,33.51,76,0,10.4
RU,Ozernovskiy,156.52,51.5,51.67,85,81,10.22
IR,Tonekābon,50.87,36.82,66.2,72,40,2.24
RU,Arman',150.17,59.7,44.74,82,100,3.62
CA,Iqaluit,-68.51,63.75,26.29,68,40,9.17
PH,Tabuk,121.44,17.42,79.92,74,86,0.92
KZ,Shetpe,52.12,44.17,52.56,44,0,7.23
RU,Kamskiye Polyany,51.42,55.43,46.4,81,71,2.24
GB,Margate,1.39,51.38,53.49,79,35,14.99
LV,Valka,26.01,57.78,54.0,95,8,2.35
RU,Kaliningrad,20.51,54.71,48.2,100,20,2.24
RU,Ola,151.28,59.58,44.46,80,100,1.63
RU,Aksarka,67.8,66.56,43.07,91,90,2.33
MX,Acapulco de Juárez,-99.89,16.86,84.2,74,90,3.36
ML,Taoudenni,-3.98,22.68,95.09,10,0,8.57
CA,Claresholm,-113.59,50.03,62.65,39,17,13.87
RU,Svetlaya,138.33,46.54,59.29,51,13,3.62
GR,Véroia,22.2,40.52,60.46,62,4,6.76
LK,Matara,80.54,5.95,77.29,86,100,8.12
RU,Belyy Yar,91.39,53.6,37.4,74,75,6.71
RU,Bay-Khaak,94.5,51.17,36.82,77,91,3.0
TD,Kyabé,18.94,9.45,72.39,97,64,3.8
IT,Laas,10.7,46.62,45.64,87,5,6.93
CO,Uribia,-72.27,11.71,86.49,63,75,16.08
RU,Sobolevo,31.9,54.43,48.0,73,37,8.7
TR,Kahramanmaraş Province,37.0,38.0,77.0,41,40,9.17
MX,Progreso,-89.67,21.28,84.09,79,75,8.05
RU,Solnechnyy,136.63,50.72,47.35,73,65,3.83
IT,Orbetello,11.22,42.44,55.65,76,20,4.7
CA,La Ronge,-105.28,55.1,55.4,47,75,13.87
CD,Yangambi,24.43,0.81,68.74,99,100,0.31
IT,Melfi,15.65,41.0,48.47,87,5,3.36
RU,Dubovka,44.83,49.06,51.4,46,90,13.42
IT,Oga,10.35,46.46,41.11,72,75,2.24
US,Kahului,-156.47,20.89,83.17,58,20,13.87
RU,Chunoyar,97.32,57.45,26.53,96,0,3.67
LV,Jūrmala,23.77,56.97,42.8,100,38,1.12
SE,Timrå,17.33,62.49,48.11,100,100,2.24
SA,Buraidah,43.98,26.33,73.4,35,0,5.82
PK,Muzaffarabad,73.47,34.37,64.76,32,0,5.53
ES,Los Llanos de Aridane,-17.92,28.66,73.4,73,20,11.41
PT,Praia da Vitória,-27.07,38.73,65.26,72,75,8.37
SO,Oddur,43.89,4.12,72.61,74,79,12.26
PT,Lagoa,-27.98,39.05,66.49,67,54,8.23
US,Makakilo City,-158.09,21.35,88.36,62,1,10.29
RU,Kondopoga,34.26,62.21,48.2,100,84,2.24
RO,Asău,26.4,46.43,54.0,80,100,10.45
RU,Kodinsk,99.18,58.69,26.15,96,0,3.2
CN,Jishou,109.72,28.32,64.85,91,100,2.39
CM,Banyo,11.82,6.75,63.36,89,90,2.39
VE,Barinitas,-70.41,8.76,72.55,85,84,2.82
PH,Caruray,119.01,10.31,84.2,74,20,4.7
CN,Kumul,93.45,42.8,48.06,47,0,17.94
BJ,Porto-Novo,2.6,6.5,78.8,88,40,14.99
US,Rome,-75.46,43.21,54.86,93,90,1.3
MR,Adrar,-10.07,20.5,91.92,18,0,8.72
CA,Medicine Hat,-110.67,50.05,63.63,31,40,17.22
RU,Leshukonskoye,45.76,64.9,44.08,96,51,4.79
US,Hopewell,-77.29,37.3,73.0,92,100,10.11
CN,Ürümqi,87.6,43.8,44.6,42,0,8.95
LA,Pakxan,103.66,18.38,76.69,92,98,2.19
GE,Sukhumi,41.02,43.0,70.12,48,79,3.71
RU,Morozovsk,41.83,48.35,55.11,44,100,17.2
NG,Yenagoa,6.26,4.92,74.82,93,100,3.4
MT,Marsaxlokk,14.54,35.84,67.78,88,20,5.82
BF,Ouahigouya,-2.42,13.58,84.54,49,85,8.08
RU,Mokhsogollokh,128.92,61.47,37.02,77,49,5.03
RU,Dudinka,86.18,69.41,32.0,94,100,13.42
GB,Northam,-4.22,51.03,51.01,93,71,7.0
US,Macon,-88.97,39.87,56.44,67,90,4.7
US,Freeport,-73.58,40.66,70.09,100,90,9.17
RU,Letka,49.42,59.6,46.04,90,100,3.65
RU,Srednekolymsk,153.68,67.45,44.89,85,97,6.62
US,Mandan,-100.89,46.83,65.73,45,75,16.11
RU,Provideniya,-173.3,64.38,44.6,70,90,4.47
FR,Saint-François,3.91,46.42,50.45,93,79,3.36
GR,Messíni,22.01,37.05,63.59,87,20,8.66
PL,Płock,19.71,52.55,53.6,100,99,4.7
RU,Vereshchagino,54.66,58.08,45.12,91,32,0.65
MX,La Reforma,-91.02,18.1,76.78,91,20,13.0
US,Great Bend,-98.76,38.36,71.96,25,85,7.31
MA,Nador,-2.93,35.17,68.29,83,75,3.36
RU,Novoagansk,76.66,61.94,38.7,93,100,11.7
IS,Olafsvik,-23.71,64.89,40.62,83,83,9.95
HT,Les Cayes,-73.75,18.2,81.16,79,27,9.08
JP,Iwanai,140.51,42.97,66.31,67,100,2.06
IN,Kothāpet,79.48,19.33,74.7,90,79,5.01
US,Makaha,-158.22,21.47,88.23,29,1,3.36
RU,Magistral'nyy,107.45,56.17,39.2,93,98,2.95
RU,Vanavara,102.28,60.34,26.58,95,0,3.94
IL,Kiryat Gat,34.76,31.61,75.99,85,0,2.46
SE,Köping,15.99,59.51,53.76,93,90,3.47
BB,Bathsheba,-59.52,13.22,82.4,83,75,20.8
US,Russell,-85.2,32.35,59.29,93,40,2.91
US,Elmira,-76.81,42.09,52.86,93,90,3.36
US,Pecos,-103.49,31.42,78.8,14,1,4.45
ES,Mahon,4.27,39.89,60.8,87,0,1.12
CN,Shiyan,110.78,32.65,65.25,83,27,3.49
MX,Cabo San Lucas,-109.91,22.89,89.13,58,5,6.93
LY,Benghazi,20.07,32.12,74.28,74,0,14.29
RU,Ust-Kuyga,135.6,70.02,37.71,80,77,9.95
GB,Glenluce,-4.81,54.88,54.0,87,73,5.99
US,Fresno,-119.83,36.67,99.28,11,1,4.7
US,Juneau,-134.42,58.3,50.0,81,90,9.17
IT,Monserrato,9.14,39.26,62.15,93,0,5.82
CN,Rizhao,119.46,35.43,63.54,62,0,14.47
PH,Balud,123.7,10.15,86.0,74,40,2.24
ES,Arroyo de la Encomienda,-4.8,41.61,51.8,57,19,2.24
NP,Kirtipur,85.28,27.67,69.8,94,75,2.24
ID,Sibolga,98.78,1.74,77.05,72,35,3.42
RU,Rybnaya Sloboda,50.14,55.46,42.8,81,100,6.26
CN,Yangjiang,111.97,21.85,79.54,88,76,4.36
DE,Templin,13.5,53.12,50.47,79,25,1.21
VN,Tuy Hoa,109.3,13.08,80.26,76,100,12.57
MR,Nouadhibou,-17.03,20.93,71.6,73,0,18.34
RU,Aykhal,111.5,66.0,23.0,92,90,4.47
US,Lincoln,-96.67,40.8,74.97,22,1,8.05
IN,Āmli,73.02,20.28,73.11,85,31,3.27
GB,Edinburgh,-3.2,55.95,46.35,87,51,1.12
